"","x"
"1","Probation to Determine"
"2","FAMILY FOCUS, INC. EVANSTON: OUR PLACE"
"3","THRIVE COUNSELING CENTER"
"4","PRESENCE BEHAVORIAL HEALTH"
"5","FILLMORE CENTER FOR HUMAN SERVICES"
"6","FRIENDSHIP HOUSE - CHICAGO"
"7","GATEWAY FOUNDATION-CHICAGO OUTPATIENT NORTH"
"8","GATEWAY FOUNDATION-CHICAGO WESTSIDE RESIDENTIAL"
"9","GATEWAY FOUNDATION/LAKE VILLA YOUTH CARE"
"10","GLENWOOD SCHOOL FOR BOYS"
"11","LAWRENCE HALL YOUTH SERVICES"
"12","HEALTHCARE ALTERNATIVE SYSTEMS (H.A.S)"
"13","HEARTLAND ALLIANCE - WOMENS PROGRAM"
"14","HOLMES HEAD START CENTER"
"15","CENTER ON HALSTED"
"16","HOWARD AREA COMMUNITY CENTER"
"17","ARBOR COUNSELING CENTER"
"18","ADOPTION INFORMATION CENTER OF ILLINOIS"
"19","ALANON/ALATEEN FAMILY GROUPS"
"20","CAUSES"
"21","CENTERS FOR NEW HORIZONS - HOARD DAY CARE"
"22","CENTRAL BAPTIST CHILDREN'S HOME - FAMILY SERVICES"
"23","Chicago Area Project"
"24","CHICAGO CHILD CARE SOCIETY"
"25","CHICAGO HEIGHTS COMMUNITY YOUTH COMMITTEE"
"26","EPISCOPAL CHARITIES"
"27","EXECUTIVE SERVICE CORPS OF CHICAGO"
"28","ASSOCIATION HOUSE"
"29","BACK OF THE YARDS NEIGHBORHOOD COUNCIL"
"30","BEATRICE CAFFREY COUNSELING"
"31","BETTER BOYS FOUNDATION"
"32","BLOOM TOWNSHIP YOUTH COMMITTEE"
"33","BLUE GARGOYLE YOUTH SERVICE CENTER"
"34","BOBBY E. WRIGHT MENTAL HEALTH CENTER"
"35","BRIDGE YOUTH AND FAMILY SERVICES"
"36","CAMELOT MONITOR CARE"
"37","CASA AZTLAN"
"38","CENTER FOR CONTEXTUAL CHANGE"
"39","Center for Conflict Resolution"
"40","CENTER FOR NEW HORIZONS"
"41","Chicago Area Project"
"42","CHILD AND FAMILY COUNSELING CENTER"
"43","CHILDREN'S ADVOCACY CENTER"
"44","CIRCLE FAMILY CARE COUNSELING"
"45","COMMUNITY HUMAN SERVICES, INC."
"46","COMMUNITY MENTAL HEALTH"
"47","DEPAUL UNIVERSITY COMMUNITY MENTAL HEALTH CENTER"
"48","ELK GROVE TEEN CENTER"
"49","GRAND PRAIRIE SERVICES (HAZEL CREST)"
"50","HANOVER TOWNSHIP YOUTH & FAMILY SERVICES"
"51","HARTGROVE HOSPITAL"
"52","INTERVENTIONS -- CROSSROADS"
"53","JENNINGS HOME"
"54","LATINO YOUTH, INC."
"55","LINCOLN'S CHALLENGE"
"56","MAINESTAY YOUTH & FAMILY SERVICES"
"57","MILE SQUARE MENTAL HEALTH CENTER"
"58","NORTHWEST YOUTH OUTREACH"
"59","OMNI YOUTH SERVICES"
"60","PROBATION CHALLENGE/OLIVE HARVEY"
"61","PROVISO-LEYDEN COUNCIL FOR COMMUNITY ACTION"
"62","RAVENSWOOD COMMUNITY MENTAL HEALTH"
"63","ROLLING MEADOWS POLICE NEIGHBORHOOD RESOURCE CTR."
"64","SAFER FOUNDATION"
"65","SHELTER, INC."
"66","YMCA (SOUTHSIDE YMCA)"
"67","SOUTH SUBURBAN COUNCIL ON ALCOHOLISM"
"68","We're Family"
"69","KENNETH YOUNG CENTER"
"70","SULLIVAN HOUSE HIGH SCHOOL"
"71","T.A.S.C. - MARKHAM"
"72","TEEN LIVING PROGRAMS"
"73","THORNTON TOWNSHIP (RIVERDALE)"
"74","TURNING POINT"
"75","UNIVERSAL FAMILY CONNECTION"
"76","WESTSIDE ASSOCIATION FOR COMM ACTION FOUNDATION"
"77","WESTSIDE YOUTH NETWORK"
"78","WOODLAND HOSPITAL"
"79","Y.E.S. PROGRAM"
"80","YMCA"
"81","YOUTH OUTREACH SERVICES (AUSTIN OFFICE)"
"82","YOUTH IN CRISIS"
"83","YOUTH SERVICE PROJECT (YSP)"
"84","ALTERNATIVES, INC"
"85","Metropolitian Family Services"
"86","ALTERNATIVES, INC."
"87","HUMAN RESOURCES DEVELOPMENT INSTITUTE"
"88","AUNT MARTHA'S YOUTH SERVICE CENTER"
"89","ADELANTE, INC."
"90","ANIXTER CENTER FACTORY"
"91","CHADDOCK"
"92","GLEN MILLS SCHOOLS"
"93","THE HARBOUR"
"94","LATINO FAMILY SERVICES"
"95","MIDWEST FAMILY RESOURCES"
"96","PATRICIA PORTER CLINICAL BEHAVIOR CONSULTANTS"
"97","RIVEREDGE HOSPITAL"
"98","SAINT JOSEPH'S CARONDELET CHILD CENTER"
"99","STREAMWOOD BEHAVIORAL HEALTH CENTER - STREAMWOOD"
"100","TARKIO ACADEMY"
"101","PROBATION DRUG"
"102","YOUTHNET DIST 2 - GRAND BOULEVARD"
"103","CHICAGO LAKESHORE HOSPITAL"
"104","PROBATION INFORMAL SUPERVISION"
"105","Youth Organization Umbrella, Inc."
"106","YOUTHNET 24 - ROGERS PARK"
"107","PROBATION RETAIL THEFT"
"108","Elijah Thurston"
"109","Healthcare Alternative Systems"
"110","YOUTH OUTREACH SERVICES (CICERO OFFICE)"
"111","YOUTH OUTREACH SERVICES (MAYWOOD OFFICE)"
"112","YOUTH OUTREACH SERVICES (BELLWOOD OFFICE)"
"113","PROVISO FAMILY SERVICES"
"114","BADGE"
"115","YOUTHNET DIST 3"
"116","YOUTHNET DIST 4"
"117","YOUTHNET DIST 5"
"118","YOUTHNET DIST 6"
"119","YOUTHNET DIST 7"
"120","YOUTHNET DIST 8"
"121","YOUTHNET DIST 9"
"122","YOUTHNET DIST 10"
"123","YOUTHNET DIST 11"
"124","YOUTHNET DIST 12"
"125","YOUTHNET DIST 13"
"126","YOUTHNET DIST 14"
"127","YOUTHNET DIST 15"
"128","YOUTHNET DIST 16"
"129","YOUTHNET DIST 17"
"130","YOUTHNET DIST 18"
"131","YOUTHNET DIST 21"
"132","YOUTHNET DIST 22"
"133","YOUTHNET DIST 23"
"134","YOUTHNET DIST 24"
"135","YOUTHNET DIST 25"
